position,salary,hours,years,respon,salary/1000,sal_qcut,years_cut,time
PROFESOR CATEDRATICO,4091292.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,4091.292,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1656928.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,1656.928,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,802071.0,1/2 tiempo,15,PUESTO NO ADMINISTRATIVO ,802.071,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,4083078.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,4083.078,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,789569.75,5/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,789.56975,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2226542.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,2226.542,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,519554.25,1/4 de tiempo,34,PUESTO NO ADMINISTRATIVO ,519.55425,"(334919.26, 553674.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,530327.9,1/4 de tiempo,32,PUESTO NO ADMINISTRATIVO ,530.3279,"(334919.26, 553674.0]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1021176.9,7/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,1021.1769,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,377055.5,1/4 de tiempo,23,PUESTO NO ADMINISTRATIVO ,377.0555,"(334919.26, 553674.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,4080640.0,Tiempo Completo,33,PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      ,4080.64,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,4199087.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,4199.087,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,4052035.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,4052.035,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1832852.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1832.852,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,5115670.0,Tiempo Completo,38,PUESTO NO ADMINISTRATIVO ,5115.67,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,808369.75,1/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,808.36975,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,492452.5,1/4 de tiempo,21,PUESTO NO ADMINISTRATIVO ,492.4525,"(334919.26, 553674.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1061790.5,1/2 tiempo,30,PUESTO NO ADMINISTRATIVO ,1061.7905,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1141849.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1141.849,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR ADJUNTO                       ,425101.9,1/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,425.1019,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,209112.8,1/8 de tiempo,16,PUESTO NO ADMINISTRATIVO ,209.1128,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,471884.25,1/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,471.88425,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO,644581.6,7/8 de tiempo,5,CAJERO A                                                                                                                                                                                                                                                        ,644.5816,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2281067.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,2281.067,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,2703390.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2703.39,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,573983.85,3/8 de tiempo,12,PUESTO NO ADMINISTRATIVO ,573.98385,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,180145.9,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,180.14589999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,420202.8,3/8 de tiempo,16,PUESTO NO ADMINISTRATIVO ,420.20279999999997,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,73.83030000000001,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,146579.1,1/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,146.5791,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3323355.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,3323.355,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,295321.2,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,295.32120000000003,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,431766.7,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,431.7667,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,243092.0,1/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,243.092,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,233482.45,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,233.48245,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,162426.7,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,162.4267,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,19688.1,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,19.6881,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,295321.3,1/2 tiempo,1,PUESTO NO ADMINISTRATIVO ,295.3213,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,753406.9,3/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,753.4069000000001,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,3272233.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,3272.233,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR EXBECARIO,2786746.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,2786.746,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,221.49089999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3407794.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,3407.794,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,699096.5,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,699.0965,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,2926189.5,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,2926.1895,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,36915.15,1/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,36.915150000000004,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,442981.9,3/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,442.9819,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,363829.5,1/4 de tiempo,15,PUESTO NO ADMINISTRATIVO ,363.8295,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,118128.5,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,118.1285,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3005544.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,3005.544,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,853074.75,1/4 de tiempo,22,PUESTO NO ADMINISTRATIVO ,853.07475,"(810294.93, 1061071.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,73294.35,1/8 de tiempo,11,PUESTO NO ADMINISTRATIVO ,73.29435000000001,"(6711.849, 161986.54]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3345313.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,3345.313,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1062945.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,1062.945,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,65411.05,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,65.41105,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3592451.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,3592.451,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,916342.5,1/2 tiempo,17,PUESTO NO ADMINISTRATIVO ,916.3425,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1256927.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1256.927,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,156520.2,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,156.52020000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,39130.05,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,39.130050000000004,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2742656.0,Tiempo Completo,16,PUESTO NO ADMINISTRATIVO ,2742.656,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,168333.15,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,168.33315,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,153567.05,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,153.56705,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1593351.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,1593.351,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,427711.05,5/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,427.71105,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,1699912.0,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,1699.912,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,235909.2,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,235.9092,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1071310.0,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,1071.31,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,287844.45,5/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,287.84445,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2953044.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,2953.044,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2702343.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,2702.343,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3149804.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,3149.804,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,339031.65,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,339.03165,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,221.49089999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1209188.3,7/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,1209.1883,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2713937.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,2713.937,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,4021699.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,4021.699,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,39376.2,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,39.3762,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,428798.1,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,428.7981,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR ADJUNTO                       ,2433567.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,2433.567,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2180682.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,2180.682,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2132535.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,2132.535,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,2953575.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,2953.575,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3178282.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,3178.282,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,2720081.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,2720.081,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR EXBECARIO,2435321.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,2435.321,"(2051801.0, 2802161.5]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,221.49089999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1766417.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,1766.417,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2058830.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,2058.83,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR EDUCACION SUPERIOR,515463.85,1/2 tiempo,7,PUESTO NO ADMINISTRATIVO ,515.46385,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO,1293495.3,3/4 de tiempo,9,PROFESIONAL EN ESTADÍSTICA DEL SEP                                                                                                                                                                                                                              ,1293.4953,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1803343.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,1803.343,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1376326.0,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,1376.326,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,669135.5,3/8 de tiempo,20,PUESTO NO ADMINISTRATIVO ,669.1355,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,365829.15,1/2 tiempo,2,PUESTO NO ADMINISTRATIVO ,365.82915,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,73.83030000000001,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1720427.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,1720.427,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3268667.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,3268.667,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1090342.5,3/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,1090.3425,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3181996.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,3181.996,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,603835.05,1/2 tiempo,13,PUESTO NO ADMINISTRATIVO ,603.83505,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3839403.0,Tiempo Completo,16,PUESTO NO ADMINISTRATIVO ,3839.403,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1850034.0,Tiempo Completo,16,PUESTO NO ADMINISTRATIVO ,1850.034,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,496845.0,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,496.845,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1433941.35,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,1433.94135,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR VISITANTE,2852628.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,2852.628,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,2718390.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2718.39,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,283884.85,3/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,283.88485,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,340140.0,1/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,340.14,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,2968437.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,2968.437,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3047239.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,3047.239,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1570241.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,1570.241,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,2891100.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,2891.1,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2009916.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,2009.916,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,2811909.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,2811.909,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3960424.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,3960.424,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2333707.5,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,2333.7075,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,1907377.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1907.377,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,106963.9,1/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,106.9639,"(6711.849, 161986.54]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,205048.5,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,205.0485,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,950101.95,7/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,950.10195,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,336666.4,1/2 tiempo,7,PUESTO NO ADMINISTRATIVO ,336.6664,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,416985.2,1/2 tiempo,7,PUESTO NO ADMINISTRATIVO ,416.9852,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1553350.5,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,1553.3505,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,531388.7,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,531.3887,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1390844.25,3/4 de tiempo,20,PUESTO NO ADMINISTRATIVO ,1390.84425,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,216343.45,1/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,216.34345000000002,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,2022423.9,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,2022.4239,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,1411521.05,3/4 de tiempo,19,PUESTO NO ADMINISTRATIVO ,1411.52105,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR EDUCACION SUPERIOR,284102.3,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,284.1023,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,793789.0,1/2 tiempo,18,PUESTO NO ADMINISTRATIVO ,793.789,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR INTERINO,1018273.3,3/4 de tiempo,9,PROFESIONAL EN PSICOLOGÍA DE SEDE                                                                                                                                                                                                                               ,1018.2733000000001,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1114967.6,7/8 de tiempo,13,PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      ,1114.9676000000002,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
